userId;itemId;rating
1;8;4.0
4;24;1.5
2;24;4.0
2;16;4.0
3;11;4.0
4;3;4.0
4;7;3.0
2;15;4.0
3;2;3.0
2;3;0.5
3;22;4.0
4;10;0.5
1;18;4.5
4;25;1.5
1;24;0.5
2;10;4.0
2;15;4.0
1;9;4.5
4;2;3.0
2;29;2.5
3;23;3.0
1;4;4.0
2;3;3.5
2;16;4.5
3;8;3.5
3;9;3.5
4;19;2.5
2;1;5.0
4;14;3.0
1;25;3.5
3;23;3.5
2;;0.5
2;6;3.5
2;21;3.0
1;13;3.5
1;12;5.0
4;4;5.0
4;24;4.5
3;2;4.0
4;;4.5
1;3;5.0
3;19;4.5
3;19;4.0
1;;4.5
2;12;5.0
3;3;4.0
4;9;5.0
3;16;5.0
4;26;4.5
1;22;3.5
1;24;4.5
3;11;3.0
4;6;4.0
4;16;3.0
4;18;4.5
3;9;3.5
3;29;3.5
1;27;1.5
2;9;1.5
3;13;3.0
2;9;4.0
3;11;4.5
3;19;1.5
3;15;1.5
2;28;4.5
4;10;4.0
4;10;2.5
1;29;2.0
3;20;4.5
4;28;4.0
1;11;4.5
4;18;4.5
4;5;3.0
1;3;3.5
3;16;5.0
2;25;3.0
1;9;4.0
1;28;3.5
3;29;5.0
3;24;5.0
1;18;4.5
2;20;4.0
2;1;4.5
3;11;3.5
3;8;3.5
3;6;3.5
3;26;5.0
4;18;4.0
4;12;3.5
2;1;4.5
4;4;4.0
3;21;3.0
3;22;3.5
1;20;4.0
3;17;3.5
4;1;4.5
3;5;4.5
4;13;3.5
2;;4.0
1;14;4.5
4;14;2.5
2;9;4.0
3;17;4.5
2;14;4.5
3;2;4.5
4;24;4.5
1;;0.5
3;20;5.0
4;27;4.0
3;4;3.5
1;16;3.5
3;12;4.0
3;28;0.5
4;21;5.0
1;22;2.0
4;16;3.0
2;25;4.0
1;2;5.0
2;27;3.0
2;4;3.0
2;5;5.0
2;1;4.0
1;10;4.0
2;4;5.0
4;;4.0
2;18;4.0
2;16;3.0
1;14;4.0
3;14;4.0
4;21;4.0
4;8;5.0
3;14;3.0
1;10;4.0
2;7;4.0
2;18;4.0
1;25;4.0
1;15;2.0
1;6;4.0
4;7;4.0
4;28;5.0
2;26;4.0
2;25;4.0
1;7;3.0
1;21;3.0
2;10;4.0
4;24;5.0
3;17;5.0
3;23;4.0
2;12;4.0
3;12;5.0
4;28;5.0
1;12;3.0
2;16;3.0
4;24;4.0
4;18;4.0
2;9;3.0
3;25;3.0
2;4;5.0
3;8;5.0
3;25;4.0
1;2;5.0
4;24;3.0
2;8;5.0
2;5;4.0
2;;3.0
4;22;3.0
2;22;5.0
4;29;4.0
3;16;3.0
3;20;5.0
2;12;5.0
2;5;3.0
2;28;3.0
1;5;3.0
3;6;3.0
4;1;4.0
3;1;4.0
2;27;3.0
4;29;3.0
4;29;3.0
4;4;3.0
4;25;3.0
4;2;4.0
4;27;3.0
2;22;4.0
4;27;3.0
1;;4.0
3;18;4.0
1;29;3.0
4;18;4.0
3;29;4.0
2;14;3.0
1;23;5.0
1;6;5.0
3;16;4.0
3;7;5.0
4;1;3.0
2;;3.0
1;12;4.0
1;7;3.0
4;25;4.0
